SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
6653,3.21680542,0,0.31086742,1,4,11,4,2,FALSE,ننوشم,1337,4,0,2,1,0.87943853,FALSE,0,ننوشم,0,0.42742967
6654,3.07415672,1.90E-07,0.32529246,0.5,4,11,4,2,FALSE,بم,1114.666667,4,0,2,1,0.87838992,FALSE,0,بم,575,0.36946194
6655,3.60861729,3.40E-07,0.27711445,0.58333333,4,12,4,2,FALSE,رودی,886.5,4,0,2,0,0.87907235,FALSE,0,رودی,358,0.2888563
6656,3.62015105,0,0.27623157,0,1,12,1,0,FALSE,معاشری,306,1,0,1,0,0.85201953,FALSE,0,معاشری,0,0
6657,0,0,0,0,1,0,1,1,FALSE,کثیر,4,1,0,0,0,0.80079893,FALSE,0,کثیر,0,0
6658,3.52416102,7.63E-05,0.28375548,0.41666667,4,11,4,2,FALSE,عطای,436.5,4,0,2,0,0.86746005,FALSE,0,عطای,83408,0.30295139
6659,3.43936143,4.75E-06,0.29075165,0,2,11,2,1,FALSE,قلیل,282.5,2,0,1,0,0.85597537,FALSE,0,قلیل,9288,0.50088968
6660,3.78010471,6.49E-05,0.26454294,0.33333333,4,12,4,2,FALSE,کمینگه,469.3333333,4,0,2,1,0.86640036,FALSE,0,کمینگه,47973,0.34434655
6661,4.15003004,6.00E-08,0.24096211,0,2,12,2,1,FALSE,تمتعی,9,2,0,1,0,0.81582335,FALSE,0,تمتعی,36,0.5
6662,0,0,0,0,1,0,1,1,FALSE,بپذیر,2,1,0,0,0,0.74269862,FALSE,0,بپذیر,0,0
6663,1,7.63E-05,1,0,2,1,2,1,FALSE,بگویدت,2.5,2,0,1,0,0.80935974,FALSE,0,بگویدت,310545,0.5
6664,3.92095099,2.00E-07,0.25504017,0,2,12,2,1,FALSE,وردت,218,2,0,1,0,0.85421105,FALSE,0,وردت,583,0.52289157
6665,2.99579435,2.98E-04,0.33380128,0.18548387,38,10,38,19,FALSE,گردان,385.21875,38,0,19,4,0.89853529,FALSE,0,گردان,639725,0.06269331
6666,3.09973393,2.09E-06,0.32260833,0.33333333,6,11,6,3,FALSE,میداند,752.5,6,0,3,1,0.87509432,FALSE,0,میداند,7980,0.30330512
6667,3.72937945,3.90E-07,0.26814112,0,2,12,2,1,FALSE,بعید,133.5,2,0,1,0,0.84869063,FALSE,0,بعید,821,0.53212851
6668,3.43944726,6.10E-07,0.29074439,0.5,4,11,4,2,FALSE,خطرناک,253,4,0,2,1,0.85960386,FALSE,0,خطرناک,713,0.36455331
6669,3.22907905,0,0.30968582,0.66666667,4,11,4,2,FALSE,کشتیبان,777.5,4,0,2,0,0.87391811,FALSE,0,کشتیبان,0,0.33981643
6670,3.82550854,7.64E-05,0.26140315,0.08333333,4,11,4,2,FALSE,بازیهای,84.5,4,0,2,0,0.85246893,FALSE,0,بازیهای,101116,0.29268293
6671,3.82542271,8.07E-05,0.26140902,0,2,12,2,1,FALSE,یکسان,39,2,0,1,0,0.83303928,FALSE,0,یکسان,129274,0.5
